,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,tipo_planeta,x,y,cluster_kmeans,densidad_gcm3,habitable
2638,Kepler-1368 b,1.65,3.3600000000000136,0.6756494859999975,2085.0,0.01529999999999998,4849.257,0.0,5906.0,1.08,Super-Tierra,8.278198,10.538369,0.0,4.121345688287853,False
2639,Kepler-1369 b,2.69,7.699999999999989,25.873148000000015,667.0,0.17410000000000003,37.158000000000015,0.0,5761.0,0.99,Sub-Neptuno,-4.473279,3.6161447,0.0,2.179643586891804,False
2640,Kepler-137 b,1.4699999999999998,2.759999999999991,8.436386999999996,742.0,0.07700000000000001,86.32999999999993,0.0,5187.0,0.802,Super-Tierra,-1.8698256,2.7413883,0.0,4.787498784047828,False
2641,Kepler-137 c,1.88,4.189999999999998,18.73575299999999,568.0,0.13,29.774999999999977,0.0,5187.0,0.802,Super-Tierra,-3.1314192,1.2306818,0.0,3.4744980640127894,False
2642,Kepler-1370 b,1.8399999999999999,4.0400000000000205,20.26416839999999,770.0,0.15763,132.587,0.0,6202.0,1.29,Super-Tierra,-4.4619203,5.5791087,0.0,3.573382407331325,False
2643,Kepler-1370 c,1.2699999999999996,2.1499999999999773,7.441421130000009,1075.0,0.08084000000000002,503.722,0.0,6202.0,1.29,Super-Tierra,-1.4989929,9.002916,0.0,5.783342275345912,False
2644,Kepler-1371 b,0.7300000000000004,0.3149999999999977,3.4462039000000004,1015.0,0.04214000000000001,414.765,0.0,5361.0,0.83,Terrestre,-0.7601415,7.5363235,0.0,4.461630211533132,False
2645,Kepler-1371 c,0.6399999999999997,0.19600000000002638,2.005412690000014,1216.0,0.029370000000000007,853.269,0.0,5361.0,0.83,Terrestre,0.43438143,9.464947,0.0,4.119720458984935,False
2646,Kepler-1372 b,1.2699999999999996,2.1499999999999773,1.3115555679999886,1655.0,0.02400000000000002,2176.3579999999997,0.0,5677.0,0.97,Super-Tierra,3.1447713,11.000053,0.0,5.783342275345912,False
2647,Kepler-1373 b,1.1600000000000001,1.6499999999999773,1.291232750000006,1887.0,0.025980000000000003,8385.9,0.0,6299.0,1.33,Terrestre,8.524454,10.354664,0.0,5.824539239001107,False
2648,Kepler-1374 b,2.29,5.860000000000014,10.65276707000001,737.0,0.09179999999999999,59.78899999999999,0.0,5323.0,0.81,Sub-Neptuno,-2.4446604,3.4168355,0.0,2.688702604357459,False
2649,Kepler-1375 b,1.7400000000000002,3.680000000000007,3.3004191999999932,1543.0,0.04710000000000003,2948.362,0.0,6704.0,1.78,Super-Tierra,3.458342,11.1037855,0.0,3.849033337737267,False
2650,Kepler-1376 b,1.0499999999999998,1.160000000000025,5.308806559999994,1042.0,0.05980000000000002,278.902,0.0,5659.0,0.97,Terrestre,-0.85651964,7.570719,0.0,5.521304394773904,False
2651,Kepler-1377 b,1.25,2.1000000000000227,0.7409284219999961,1873.0,0.01529999999999998,2909.21,0.0,5218.0,0.82,Super-Tierra,3.68465,11.013607,0.0,5.924352000000065,False
2652,Kepler-1378 b,2.2,5.480000000000018,11.953989360000008,525.0,0.08850000000000002,14.867000000000075,0.0,4407.0,0.67,Sub-Neptuno,-1.7587849,-0.38666463,0.0,2.8357250187828784,False
2653,Kepler-1379 b,1.2999999999999998,2.240000000000009,0.8818411459999993,1564.0,0.017100000000000004,1600.049,0.0,5188.0,0.79,Super-Tierra,2.4202154,10.390841,0.0,5.617842512517093,False
2654,Kepler-138 b,0.6399999999999997,0.06999999999999318,10.313400000000001,452.0,0.07530000000000003,9.900000000000034,0.019999999999999997,3841.0,0.535,Terrestre,-0.4928737,-1.2800235,0.0,1.4713287353514215,False
2655,Kepler-138 c,1.5099999999999998,2.3000000000000114,13.781499999999994,410.0,0.09129999999999999,6.800000000000011,0.017,3841.0,0.535,Super-Tierra,-0.3408605,-1.4522676,0.0,3.6808540115732313,False
2656,Kepler-138 d,1.5099999999999998,2.1000000000000227,23.092299999999994,345.0,0.12880000000000003,3.3999999999999773,0.009999999999999995,3841.0,0.535,Super-Tierra,-0.43711102,-1.6978756,0.0,3.3607797496973175,False
2657,Kepler-138 e,0.7969999999999997,0.4300000000000068,38.22999999999999,292.0,0.1803,1.7300000000000182,0.112,3841.0,0.535,Terrestre,1.9568754,-0.82414675,0.0,4.679991779664542,False
2658,Kepler-1380 b,1.4300000000000002,2.6299999999999955,10.310824499999995,786.0,0.0917,90.10000000000002,0.0,5570.0,0.94,Super-Tierra,-2.719739,4.9976025,0.0,4.955634125764685,False
2659,Kepler-1381 b,2.25,5.689999999999998,25.384268599999984,649.0,0.1728,29.701000000000022,0.0,5747.0,0.94,Sub-Neptuno,-4.5208125,3.2467895,0.0,2.7524301783264735,False
2660,Kepler-1382 b,1.88,4.189999999999998,16.3583055,959.0,0.14022999999999997,198.471,0.0,6161.0,1.72,Super-Tierra,-2.7074978,7.6240206,0.0,3.4744980640127894,False
2661,Kepler-1383 b,1.4100000000000001,2.569999999999993,13.909358300000008,928.0,0.11397000000000002,231.396,0.0,6370.0,1.44,Super-Tierra,-3.0784972,7.3135195,0.0,5.0515817340123945,False
2662,Kepler-1384 b,1.94,4.420000000000016,15.362627529999997,608.0,0.11260000000000003,32.22999999999996,0.0,4919.0,0.74,Super-Tierra,-2.420132,1.303965,0.0,3.3355593953146534,False
2663,Kepler-1385 b,0.8499999999999996,0.5430000000000064,2.8887986199999887,1423.0,0.04261999999999999,1591.4770000000003,0.0,5732.0,1.29,Terrestre,1.9586374,10.752109,0.0,4.871858335029576,False
2664,Kepler-1386 b,1.2400000000000002,2.069999999999993,6.739723809999987,1011.0,0.068,196.533,0.0,5733.0,1.03,Terrestre,-1.5511137,7.604615,0.0,5.982144355677866,False
2665,Kepler-1387 b,0.9299999999999997,0.7490000000000236,2.2795266560000016,1123.0,0.031000000000000028,300.312,0.0,5046.0,0.77,Terrestre,0.5001663,7.9662204,0.0,5.130793913647962,False
